path,type,component_kind,provider_scope,classification,reason,has_yaml_frontmatter,refs_agentic_forex,refs_windows_paths,vendor_coupling
AGENTS.md,file,governance_rules,provider-neutral,refactor,"Title says Agentic Forex; needs rename to Goblin",no,yes,no,none
codex.md,file,operator_playbook,codex,refactor,"References Agentic Forex; needs identity update",no,yes,no,none
README.md,file,documentation,provider-neutral,refactor,"22+ hardcoded Windows paths; Agentic Forex naming",no,yes,yes,none
pyproject.toml,file,build_config,provider-neutral,keep,"Already project name=goblin; dual CLI entry points",no,no,no,none
.gitignore,file,git_config,provider-neutral,keep,"Standard exclusions",no,no,no,none
.agents/skills/artifact-audit/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate",yes,no,no,none
.agents/skills/candidate-refinement/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate; refs agentic_forex CLI",yes,yes,no,none
.agents/skills/capability-crawl/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate; refs agentic_forex CLI",yes,yes,no,none
.agents/skills/governed-strategy-search/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate; refs agentic_forex CLI",yes,yes,no,none
.agents/skills/incident-review/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate",yes,no,no,none
.agents/skills/parity-packaging/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate; refs agentic_forex CLI",yes,yes,no,none
.agents/skills/promotion-readiness-review/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate; refs agentic_forex CLI",yes,yes,no,none
.agents/skills/runtime-monitoring/SKILL.md,file,skill_definition,provider-neutral,merge,"Canonical; delete .codex duplicate",yes,no,no,none
.agents/plugins/marketplace.json,file,plugin_registry,provider-neutral,refactor,"Empty registry; populate or remove",no,no,no,none
.codex/AGENTS.md,file,governance_rules,codex,keep,"Codex-specific rules; distinct from root AGENTS.md",no,no,no,codex
.codex/config.toml,file,config,codex,keep,"Codex execution config; hooks disabled for Windows",no,no,no,codex
.codex/rules/default.rules,file,rules,codex,refactor,"References python -m agentic_forex",no,yes,no,codex
.codex/agents/portfolio_orchestrator.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/gap_lane_explorer.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/governance_auditor.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/incident_reviewer.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/lane_researcher.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/runtime_observer.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/throughput_worker.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/agents/validation_worker.toml,file,agent_definition,codex,refactor,"Extract canonical definition; keep TOML as Codex adapter",no,no,no,codex/openai
.codex/skills-src/artifact-audit/SKILL.md,file,skill_definition,codex,delete,"Exact duplicate of .agents/skills/artifact-audit/SKILL.md",yes,no,no,none
.codex/skills-src/candidate-refinement/SKILL.md,file,skill_definition,codex,delete,"Exact duplicate of .agents/skills/",yes,yes,no,none
.codex/skills-src/capability-crawl/SKILL.md,file,skill_definition,codex,delete,"Exact duplicate of .agents/skills/",yes,yes,no,none
